; Smaart Trace Output
; This File Created On Friday April 24, 2009 At 13:17:48
;
; Comment: FreqResp_180deg
;
; Transfer Function Trace
;
; Sample Rate		: 48000
; FFT			: FPPO
; Frequency Resolution	: 24 points per octave
; Y +/-			: 0.0
; Averages		: 32
; Data Window		: Hanning
;
;
; Frequency (Hz)	Magnitude (dB)	Phase (degrees)
11.718750	-17.38	80.27
13.183594	-18.23	67.96
14.648438	-19.33	98.72
16.113281	-19.71	110.09
17.578125	-20.21	-133.69
19.042969	-22.89	-95.64
20.507812	-25.25	-120.89
21.972656	-26.35	-122.76
23.437500	-27.37	-157.34
24.902344	-28.28	167.28
26.367188	-27.02	157.12
27.832031	-26.07	-56.89
29.296875	-24.95	-52.34
30.761719	-24.37	-49.08
32.226562	-23.31	-45.07
33.691406	-20.77	-12.79
35.156250	-17.35	52.19
36.621094	-16.01	62.20
38.085938	-14.51	73.49
39.550781	-14.45	83.03
41.015625	-17.48	114.85
42.480469	-21.21	126.40
43.945312	-24.39	-166.73
45.410156	-28.07	-165.64
46.875000	-29.42	-161.62
48.339844	-29.30	152.63
49.804688	-27.57	135.98
51.269531	-25.76	105.16
52.734375	-22.54	71.71
54.199219	-20.80	35.81
55.664062	-19.71	5.77
57.128906	-20.03	-14.63
58.593750	-19.00	-25.42
60.789356	-18.67	-36.97
62.988281	-18.03	-42.27
64.453125	-16.93	-46.56
65.917969	-15.65	-55.44
68.233742	-15.12	-66.19
70.312500	-14.72	-75.71
72.291130	-14.40	-84.92
74.707031	-14.11	-93.32
76.589783	-13.38	-97.45
79.101562	-12.45	-100.26
81.144051	-11.25	-105.18
83.496094	-9.92	-113.47
85.969131	-9.24	-127.65
88.488213	-9.44	-142.78
91.081116	-10.18	-153.05
93.750000	-11.06	-158.29
96.497086	-11.45	-159.81
99.324669	-10.88	-158.12
102.235100	-9.66	-161.23
105.230812	-8.11	-170.17
108.314316	-6.83	176.71
111.488167	-6.64	159.53
114.755013	-7.60	145.03
118.117599	-9.01	140.84
121.578712	-10.30	137.60
125.141235	-11.18	136.71
128.808167	-11.64	139.52
132.582520	-11.40	143.78
136.467484	-10.91	143.84
140.466293	-10.32	146.20
144.582260	-9.48	145.21
148.818848	-8.29	147.26
153.179565	-6.26	148.97
157.668076	-3.70	146.35
162.288101	-1.39	134.58
167.043503	-0.05	119.85
171.938263	0.60	95.84
176.976425	-0.43	70.42
182.162231	-2.44	51.87
187.500000	-4.71	40.79
192.994171	-6.72	29.12
198.649338	-8.49	33.97
204.470200	-9.56	48.86
210.461624	-8.33	68.72
216.628632	-6.92	85.59
222.976334	-5.57	90.13
229.510025	-4.92	82.88
236.235199	-6.10	62.04
243.157425	-8.10	57.03
250.282471	-9.05	56.67
257.616333	-8.95	58.46
265.165039	-7.73	59.51
272.934967	-5.45	54.76
280.932587	-5.02	45.19
289.164520	-5.63	37.70
297.637695	-7.25	38.47
306.359131	-7.80	41.32
315.336151	-7.47	47.81
324.576202	-7.05	46.23
334.087006	-6.87	40.86
343.876526	-6.36	39.31
353.952850	-7.56	40.98
364.324463	-8.14	39.86
375.000000	-7.76	40.30
386.718750	-7.82	40.38
398.437500	-8.82	39.87
410.156250	-8.51	38.31
421.875000	-7.78	34.95
433.593750	-7.64	29.35
445.312500	-7.88	18.23
457.031250	-7.13	11.13
468.750000	-7.15	4.04
486.314850	-7.95	-6.97
503.906250	-9.22	-5.84
515.625000	-9.47	2.38
527.343750	-9.61	1.54
545.869934	-9.64	7.96
562.500000	-9.23	16.92
578.329041	-8.68	10.64
597.656250	-8.98	-0.08
612.718262	-9.98	-10.57
632.812500	-11.54	-27.99
649.152405	-13.82	-36.33
667.968750	-15.17	-25.25
687.753052	-15.15	-3.80
707.905701	-14.53	4.97
728.648926	-14.46	27.08
750.000000	-13.74	52.40
771.976685	-12.89	57.05
794.597351	-11.87	55.25
817.880798	-10.90	59.49
841.846497	-9.65	45.26
866.514526	-8.70	21.85
891.905334	-8.80	4.96
918.040100	-9.91	-2.65
944.940796	-11.21	-9.64
972.629700	-12.20	-0.52
1001.129883	-13.31	11.45
1030.465332	-13.35	26.47
1060.660156	-12.82	35.43
1091.739868	-12.31	40.59
1123.730347	-12.42	39.87
1156.658081	-12.25	35.30
1190.550781	-12.59	29.58
1225.436523	-13.45	27.60
1261.344604	-14.39	19.00
1298.304810	-14.40	11.66
1336.348022	-14.95	9.34
1375.506104	-14.65	20.91
1415.811401	-14.21	35.84
1457.297852	-14.50	33.89
1500.000000	-13.87	57.31
1543.953369	-12.97	56.78
1589.194702	-13.47	29.77
1635.761597	-14.59	11.92
1683.692993	-14.59	11.86
1733.029053	-14.91	11.95
1783.810669	-15.23	46.58
1836.080200	-15.86	41.90
1889.881592	-14.91	41.74
1945.259399	-14.26	47.64
2002.259766	-14.35	33.05
2060.930664	-15.33	19.53
2121.320312	-15.49	26.26
2183.479736	-17.07	18.40
2247.460693	-17.48	19.90
2313.316162	-17.81	24.82
2381.101562	-18.02	27.90
2450.873047	-18.38	15.89
2522.689209	-18.08	35.96
2596.609619	-18.65	34.06
2672.696045	-19.41	17.43
2751.012207	-19.25	11.51
2831.622803	-18.91	5.96
2914.595703	-18.75	-17.35
3000.000000	-18.85	-40.87
3093.750000	-18.33	-52.06
3187.500000	-17.90	-54.28
3281.250000	-17.65	-67.36
3375.000000	-17.44	-91.18
3468.750000	-17.03	-69.28
3562.500000	-17.27	-59.99
3656.250000	-17.79	-81.80
3750.000000	-17.83	-92.75
3890.518799	-17.65	-51.58
4031.250000	-17.94	-76.48
4125.000000	-18.07	-68.62
4218.750000	-18.50	-60.60
4366.959473	-19.19	-52.70
4500.000000	-19.59	-43.94
4626.632324	-18.94	-44.63
4781.250000	-18.46	-49.19
4901.746094	-18.06	-26.08
5062.500000	-18.40	29.47
5193.219238	-18.47	-3.95
5343.750000	-19.26	58.86
5502.024414	-20.83	125.10
5663.245605	-21.67	150.83
5829.191406	-21.22	-158.78
6000.000000	-21.46	166.79
6187.500000	-21.75	-161.90
6375.000000	-21.12	-110.38
6562.500000	-20.16	-41.20
6750.000000	-20.39	-25.39
6937.500000	-20.77	-37.84
7125.000000	-20.60	-43.04
7312.500000	-20.68	-61.77
7500.000000	-21.72	-57.92
7781.037598	-22.28	-51.76
8062.500000	-22.60	-41.19
8250.000000	-22.90	-9.66
8437.500000	-22.49	21.98
8733.918945	-22.16	42.55
9000.000000	-22.32	46.82
9253.264648	-22.85	87.49
9562.500000	-23.77	63.32
9803.492188	-24.55	49.39
10125.000000	-25.08	119.29
10386.438477	-24.49	-157.41
10687.500000	-24.02	-152.35
11004.048828	-23.39	-120.09
11326.491211	-23.71	-155.58
11658.382812	-24.04	-141.31
12000.000000	-24.92	-159.40
12351.626953	-24.54	-164.38
12713.557617	-24.97	176.90
13086.092773	-25.27	-160.84
13469.543945	-25.66	-49.88
13864.232422	-26.02	21.59
14270.485352	-27.22	52.82
14688.641602	-28.05	55.10
15119.052734	-28.45	109.20
15562.075195	-28.38	129.18
16018.078125	-28.78	144.13
16487.445312	-28.72	164.12
16970.562500	-28.39	178.11
17467.837891	-28.50	146.58
17979.685547	-29.57	49.69
18506.529297	-29.97	45.69
19048.812500	-31.06	49.18
19606.984375	-32.44	76.15
20181.513672	-32.99	-164.82
20772.876953	-32.76	-122.07
21381.568359	-33.35	-82.93
22008.097656	-34.04	-54.11
22652.982422	-33.91	-41.49
23316.765625	-34.56	-20.29
24000.000000	-35.84	-12.95
