; Smaart Trace Output
; This File Created On Friday April 24, 2009 At 13:18:44
;
; Comment: RTA_on_axis
;
; Reference Trace
;
; Sample Rate		: 48000
; FFT			: 16384
; Frequency Resolution	: 2.9
; Y +/-			: 0.0
; Averages		: 32
; Data Window		: Hanning
;
;
; Frequency (Hz)	Ref (dB)
15.600000	-52.27
19.700001	-56.13
24.799999	-59.05
31.299999	-54.54
39.400002	-51.17
49.599998	-45.13
62.500000	-34.69
78.699997	-31.02
99.199997	-29.95
125.000000	-29.33
157.500000	-29.27
198.399994	-30.87
250.000000	-30.78
315.000000	-30.20
396.899994	-29.47
500.000000	-29.56
630.000000	-30.57
793.700012	-30.33
1000.000000	-29.94
1259.900024	-32.36
1587.400024	-32.57
2000.000000	-35.18
2519.800049	-37.33
3174.800049	-34.31
4000.000000	-36.47
5039.700195	-35.71
6349.600098	-31.49
8000.000000	-35.50
10079.400391	-33.27
12699.200195	-33.90
16000.000000	-34.86
20158.699219	-36.64
25398.400391	-55.25
32000.000000	***
